open,high,low,close,date,average,return
12085.67,12156.21,12006.04,12066.27,2023-02-22,12081.12,0.0
11979.8,12018.32,11900.84,11969.65,2023-02-24,11959.58,-0.010060325532732136
12106.79,12159.64,12034.61,12057.79,2023-02-27,12097.12,0.0013243805210112968
12041.75,12146.52,12021.32,12042.12,2023-02-28,12083.92,0.00023176659117691672
12026.72,12054.48,11906.58,11937.48,2023-03-01,11980.53,-0.00832621478803291
11830.09,11908.39,11830.09,11886.88,2023-03-02,11869.24,-0.017538109049492184
12110.71,12211.27,12095.24,12193.02,2023-03-03,12153.26,0.005971300674109637
12344.65,12466.88,12297.57,12302.48,2023-03-06,12382.22,0.02492318592978122
12303.19,12344.04,12130.01,12152.17,2023-03-07,12237.03,0.012905260439429444
12181.06,12237.72,12102.28,12215.33,2023-03-08,12170.0,0.007356933794217688
12230.84,12340.45,11970.34,11995.88,2023-03-09,12155.4,0.006148436568794849
12001.7,12069.62,11789.86,11830.28,2023-03-10,11929.74,-0.012530295204418217
11752.1,12073.95,11695.41,11923.17,2023-03-13,11884.68,-0.016260081846716238
12078.46,12217.87,12035.22,12199.79,2023-03-14,12126.54,0.003759585204020825
12083.24,12269.45,12026.18,12251.32,2023-03-15,12147.82,0.005521011296965753
12211.87,12595.69,12190.65,12581.39,2023-03-16,12393.17,0.02582955884884839
12570.16,12674.34,12444.08,12519.88,2023-03-17,12559.21,0.03957331770564305
12487.79,12578.35,12407.82,12562.61,2023-03-20,12493.08,0.034099487464738294
12643.35,12762.45,12582.76,12741.44,2023-03-21,12672.6,0.04895903691048508
12742.41,12943.62,12563.78,12567.15,2023-03-22,12753.7,0.055671990676361124
12735.6,12900.1,12611.67,12729.23,2023-03-23,12755.88,0.05585243752234879
12700.51,12770.28,12608.15,12767.05,2023-03-24,12689.22,0.05033473717668548
12797.9,12839.42,12647.94,12673.07,2023-03-27,12743.68,0.05484259737507776
12654.91,12654.91,12517.87,12610.57,2023-03-28,12586.39,0.04182310911571101
12768.14,12867.32,12734.68,12846.03,2023-03-29,12801.0,0.05958719059160071
12934.99,12987.97,12894.14,12963.14,2023-03-30,12941.06,0.0711804865774033
12968.96,13188.83,12968.0,13181.35,2023-03-31,13078.42,0.08255029335028534
13084.1,13157.47,13036.55,13148.35,2023-04-03,13097.01,0.08408905796813534
13165.32,13204.08,13049.98,13100.07,2023-04-04,13127.03,0.08657392692068283
13056.79,13065.28,12894.44,12967.2,2023-04-05,12979.86,0.07439210934085579
12892.9,13078.1,12846.03,13062.6,2023-04-06,12962.06,0.07291873601123064
12936.52,13051.85,12861.52,13051.23,2023-04-10,12956.69,0.0724742407988663
13040.49,13049.56,12947.66,12964.15,2023-04-11,12998.61,0.07594411776391591
13043.97,13071.98,12833.31,12848.35,2023-04-12,12952.64,0.07213900697948522
12922.9,13124.41,12920.02,13109.39,2023-04-13,13022.22,0.0778984067702331
13044.69,13152.28,12962.51,13079.52,2023-04-14,13057.4,0.08081038844080671
13053.26,13105.68,12981.26,13087.71,2023-04-17,13043.47,0.07965734964970123
13180.31,13196.18,13044.21,13091.79,2023-04-18,13120.2,0.08600858198577614
12992.51,13128.25,12988.2,13088.71,2023-04-19,13058.22,0.08087826294250852
12962.29,13107.92,12933.8,12985.98,2023-04-20,13020.86,0.07778583442594723
12970.32,13030.85,12899.64,13000.77,2023-04-21,12965.24,0.07318195663978165
12981.71,13044.22,12883.77,12969.76,2023-04-24,12964.0,0.0730793171494033
12905.09,12933.28,12724.24,12725.11,2023-04-25,12828.76,0.061884990795555324
12866.64,12929.62,12783.42,12806.48,2023-04-26,12856.52,0.06418279099950995
12963.21,13175.62,12938.5,13160.03,2023-04-27,13057.06,0.0807822453547352
13139.35,13247.39,13096.94,13245.99,2023-04-28,13172.16,0.09030950772776025
13229.11,13287.47,13186.4,13231.47,2023-05-01,13236.94,0.0956715933622048
