date,value,cumulative return,annualized return,volatility,sharpe
2023-01-03,100001.01,0.0,0.0,0.0,0.0
2023-01-04,100822.31,0.008212917049537829,0.008212917049537829,0.008212828673010007,-7.987569024718325
2023-01-05,100105.05,0.0010403894920662116,0.0010403894920662116,0.0010403533418192848,-11.977312690381392
2023-01-06,101044.72,0.010436994586354742,0.010436994586354742,0.010436931574763643,-8.523501940563712
2023-01-09,103386.32,0.03385275808714344,0.03385275808714344,0.03385279448439353,-1.5150606281378602
2023-01-10,103460.01,0.03458965064452849,0.03458965064452849,0.03458969706219979,-1.278228599882235
2023-01-11,105259.14,0.052580768934233815,0.052580768934233815,0.05258095668890929,-0.09980299829382024
2023-01-12,106774.75,0.06773671585916988,0.06773671585916988,0.06773689598221878,0.5215210332872925
2023-01-13,107359.05,0.07357965684546594,0.07357965684546594,0.07357985237597112,0.6684773662134663
2023-01-17,108744.97,0.0874387168689597,0.0874387168689597,0.08743901459741245,1.0225708512556821
2023-01-18,107695.18,0.07694092289667873,0.07694092289667873,0.07694129372966844,0.6818414448750575
2023-01-19,105187.92,0.051868576127381154,0.051868576127381154,0.051868812013485144,-0.08695987372170809
2023-01-20,106607.86,0.06606783271488964,0.06606783271488964,0.06606814675331467,0.3719240419163406
2023-01-23,109732.44,0.09731331713549701,0.09731331713549701,0.0973136686370085,1.2966537525214512
2023-01-24,110291.88,0.10290766063262771,0.10290766063262771,0.10290811276517518,1.3864308626948674
2023-01-25,108942.56,0.08941459691257121,0.08941459691257121,0.08941492472967713,0.9945081403785699
2023-01-26,110607.57,0.10606452874825976,0.10606452874825976,0.1060650250169311,1.4207187022554066
2023-01-27,112570.56,0.1256942304882721,0.1256942304882721,0.12569464471514,1.8349066309305062
2023-01-30,111813.05,0.11811920699600943,0.11811920699600943,0.118119552033681,1.5911443345537815
2023-01-31,111931.28,0.1193014950549,0.1193014950549,0.11930187807709865,1.5850623959754289
2023-02-01,113336.86,0.13335715309275384,0.13335715309275384,0.13335762894301595,1.857378640550299
2023-02-02,115767.25,0.15766080762584303,0.15766080762584303,0.15766143168345956,2.2669810930539063
2023-02-03,114715.66,0.14714501383536036,0.14714501383536036,0.14714546546569143,1.9688413967511333
2023-02-06,114032.26,0.14031108285806315,0.14031108285806315,0.14031160825209468,1.7939874542000998
2023-02-07,114512.77,0.1451161343270434,0.1451161343270434,0.1451165971445208,1.862798177168315
2023-02-08,115198.04,0.15196876511547233,0.15196876511547233,0.15196934231410417,1.9648694571614431
2023-02-09,115380.47,0.1537930466902285,0.1537930466902285,0.15379363120761577,1.9686715765511658
2023-02-10,113543.82,0.135426732190005,0.135426732190005,0.13542718614984617,1.607555656209385
2023-02-13,114838.93,0.148377701385216,0.148377701385216,0.14837819129573615,1.8534842592342897
2023-02-14,115680.79,0.15679621635821478,0.15679621635821478,0.15679678791829735,1.9979684935832691
2023-02-15,115089.41,0.15088247608699162,0.15088247608699162,0.15088307313095892,1.8750291528940746
2023-02-16,114277.59,0.14276435807998342,0.14276435807998342,0.14276493195559364,1.7214017604143939
2023-02-17,112529.37,0.12528233464842006,0.12528233464842006,0.12528278513804705,1.3952559050451399
2023-02-21,110505.96,0.10504843901076612,0.10504843901076612,0.1050488997017763,1.010927572890864
2023-02-22,110318.04,0.10316925799049428,0.10316925799049428,0.10316968780224228,0.9877239009483998
2023-02-23,112733.09,0.1273195140729079,0.1273195140729079,0.1273202155728916,1.492731120732902
2023-02-24,111667.89,0.11666762165702131,0.11666762165702131,0.11666834032938275,1.2896713734467693
2023-02-27,112277.79,0.12276656005774342,0.12276656005774342,0.12276735144995624,1.4312364728110605
2023-02-28,112140.79,0.12139657389460366,0.12139657389460366,0.12139735109565028,1.4174153952805089
2023-03-01,111218.78,0.11217656701667318,0.11217656701667318,0.11217723872985429,1.2367178041356124
2023-03-02,111573.23,0.11572103121758472,0.11572103121758472,0.11572169226777596,1.327805512725328
2023-03-03,113327.43,0.13326285404517413,0.13326285404517413,0.13326359262907633,1.7197659307899378
2023-03-06,113873.67,0.1387251988754914,0.1387251988754914,0.13872586556964173,1.8470864174782924
2023-03-07,112714.06,0.1271292159949185,0.1271292159949185,0.12712996093829132,1.6058808903003174
2023-03-08,112685.96,0.1268482188329899,0.1268482188329899,0.1268489590207452,1.6130809705736433
2023-03-09,112213.29,0.12212156657217761,0.12212156657217761,0.12212235827191593,1.5216962040249444
2023-03-10,109447.32,0.09446214593232621,0.09446214593232621,0.09446291504960436,0.9078211320151467
2023-03-13,108281.02,0.08279926372743646,0.08279926372743646,0.08280000557959144,0.6475780273160495
2023-03-14,110239.11,0.10237996596234385,0.10237996596234385,0.1023808383493613,1.1088416534213579
2023-03-15,109157.6,0.09156497519375066,0.09156497519375066,0.09156592184998812,0.8660845548430703
2023-03-16,111556.8,0.11555673287699803,0.11555673287699803,0.11555778420541497,1.4414827788803124
2023-03-17,111848.92,0.11847790337317597,0.11847790337317597,0.11847913802555797,1.5236826528801952
2023-03-20,111639.68,0.11638552450620247,0.11638552450620247,0.11638664760684246,1.486831780936111
2023-03-21,113831.56,0.13830410312855843,0.13830410312855843,0.13830526892980957,2.0205273153991206
2023-03-22,114997.77,0.14996608534253814,0.14996608534253814,0.14996731259801946,2.2981795994596528
2023-03-23,114707.89,0.1470673146201224,0.1470673146201224,0.147068591255718,2.2284736250002437
2023-03-24,113489.41,0.13488263768535946,0.13488263768535946,0.13488382313646816,1.9439924702349654
2023-03-27,114197.64,0.14196486615485188,0.14196486615485188,0.14196611853730584,2.120687253800743
